Rk;G;Date;@;OppT;W/L;Tm;Opp;ORtg;DRtg;Pace;FTr;3PAr;TS%;TRB%;AST%;STL%;BLK%;a;eFG%;TOV%;ORB%;FT/FGA;b;OeFG%;OTOV%;DRB%;OFT/FGA;T
1;1;25/10/2023;@;NYK;W;108;104;114.4;110.1;94.4;.338;.506;.611;49.5;48.6;6.4;19.6;;.558;12.8;18.9;.286;;.464;7.7;69.6;.144;BOS
2;2;27/10/2023;;MIA;W;119;111;119.8;111.7;99.3;.200;.411;.576;55.0;44.4;7.0;10.7;;.558;12.7;32.0;.137;;.517;10.8;78.0;.213;BOS
3;3;30/10/2023;@;WAS;W;126;107;123.8;105.1;101.8;.069;.520;.600;56.0;60.8;10.8;11.8;;.593;13.9;34.1;.049;;.511;13.2;76.6;.207;BOS
4;4;01/11/2023;;IND;W;155;104;148.3;99.5;104.5;.295;.368;.722;64.8;50.0;4.8;3.1;;.674;9.3;32.4;.284;;.480;7.8;85.2;.069;BOS
5;5;04/11/2023;@;BRK;W;124;114;124.4;114.3;99.7;.300;.500;.609;54.3;51.2;4.0;12.5;;.561;9.7;23.8;.256;;.515;4.4;80.0;.110;BOS
6;6;06/11/2023;@;MIN;L;109;114;99.2;103.7;99.5;.370;.424;.510;50.0;55.6;11.8;4.2;;.451;13.0;22.0;.283;;.594;19.3;85.0;.153;BOS
7;7;08/11/2023;@;PHI;L;103;106;103.6;106.6;99.4;.209;.516;.518;43.4;77.8;8.0;9.8;;.478;10.8;17.0;.176;;.489;10.6;73.9;.137;BOS
8;8;10/11/2023;;BRK;W;121;107;129.9;114.9;93.1;.298;.553;.569;53.1;70.7;5.4;6.3;;.537;6.2;31.5;.213;;.535;9.7;79.5;.188;BOS
9;9;11/11/2023;;TOR;W;117;94;120.7;97.0;97.0;.151;.512;.638;55.4;63.8;1.0;7.4;;.634;11.6;14.3;.093;;.440;7.5;85.4;.154;BOS
10;10;13/11/2023;;NYK;W;114;98;135.3;116.3;84.2;.203;.544;.662;50.0;67.5;3.6;6.8;;.627;11.3;24.2;.190;;.513;8.2;70.7;.215;BOS
11;11;15/11/2023;@;PHI;W;117;107;128.4;117.4;91.1;.216;.568;.607;52.3;54.8;7.7;14.5;;.580;8.5;27.9;.170;;.524;8.7;76.7;.212;BOS
12;12;17/11/2023;@;TOR;W;108;105;110.4;107.4;97.8;.098;.500;.563;51.8;69.0;5.1;7.4;;.543;9.4;18.2;.087;;.552;12.2;87.8;.103;BOS
13;13;19/11/2023;@;MEM;W;102;100;111.1;108.9;91.8;.325;.403;.580;51.7;57.1;6.5;19.6;;.532;16.2;24.3;.260;;.479;8.3;72.0;.095;BOS
14;14;20/11/2023;@;CHO;L;118;121;110.9;113.7;96.3;.289;.515;.540;45.7;45.2;5.6;12.3;;.515;10.6;21.6;.186;;.505;10.4;68.5;.154;BOS
15;15;22/11/2023;;MIL;W;119;116;117.2;114.2;101.6;.202;.500;.650;47.8;61.4;3.0;7.5;;.625;14.1;10.5;.167;;.510;7.7;75.0;.129;BOS
16;16;24/11/2023;@;ORL;L;96;113;97.4;114.7;98.5;.487;.382;.520;39.2;54.8;10.1;7.0;;.454;13.2;10.3;.355;;.571;16.0;67.5;.188;BOS
1;1;26/10/2023;@;MIL;L;117;118;115.1;116.1;101.7;.350;.438;.634;47.6;61.0;7.9;7.8;;.613;14.0;10.3;.238;;.574;12.6;81.4;.309;PHI
2;2;28/10/2023;@;TOR;W;114;107;123.2;115.7;92.5;.244;.326;.598;50.6;58.1;8.6;12.7;;.558;8.6;24.3;.209;;.534;12.0;71.7;.161;PHI
3;3;29/10/2023;;POR;W;126;98;124.7;97.0;101.0;.488;.341;.633;54.8;70.0;9.9;27.0;;.555;13.1;28.2;.427;;.420;12.6;74.1;.202;PHI
4;4;02/11/2023;;TOR;W;114;99;117.1;101.7;97.3;.272;.272;.553;52.9;50.0;12.3;5.9;;.505;12.0;31.9;.228;;.544;17.9;77.5;.165;PHI
5;5;04/11/2023;;PHO;W;112;100;117.6;105.0;95.3;.200;.333;.572;54.8;55.8;5.2;11.1;;.539;14.8;35.7;.167;;.410;8.8;70.6;.303;PHI
6;6;06/11/2023;;WAS;W;146;128;132.1;115.9;110.5;.396;.341;.683;54.2;72.5;10.9;11.3;;.626;12.3;26.3;.352;;.583;15.3;77.8;.167;PHI
7;7;08/11/2023;;BOS;W;106;103;106.6;103.6;99.4;.158;.358;.522;56.6;47.6;7.0;15.9;;.489;10.6;26.1;.137;;.478;10.8;83.0;.176;PHI
8;8;10/11/2023;@;DET;W;114;106;117.1;108.9;97.3;.494;.337;.564;48.9;65.7;13.4;8.6;;.476;7.3;22.9;.422;;.512;14.3;76.1;.209;PHI
9;9;12/11/2023;;IND;W;137;126;140.6;129.3;97.5;.190;.314;.602;62.8;52.8;5.1;13.7;;.571;8.8;48.9;.162;;.611;9.2;79.5;.178;PHI
10;10;14/11/2023;;IND;L;126;132;116.9;122.4;107.8;.407;.256;.621;48.1;51.2;4.6;5.4;;.535;13.6;13.9;.395;;.586;9.3;76.7;.247;PHI
11;11;15/11/2023;;BOS;L;107;117;117.4;128.4;91.1;.259;.353;.565;47.7;46.2;5.5;2.6;;.524;8.7;23.3;.212;;.580;8.5;72.1;.170;PHI
12;12;17/11/2023;@;ATL;W;126;116;129.2;118.9;97.5;.318;.341;.628;52.4;74.4;9.2;7.1;;.563;13.0;34.2;.307;;.517;11.3;68.2;.270;PHI
